PIT,BENCH,PRIORITY,TOTAL,WASTE,ORE ,GRADE1 ,GRADE2 ,GRADE3 ,GRADE4 ,FLAG1 ,FLAG2 ,FLAG3 ,FLAG4
 16 ,  564 ,  6.30080537866054 ,  0.633615 ,  0.575325 ,  0.05829 ,  57.62 ,  7.57 ,  2.38 ,  42.38 ,  0 ,  1 ,  0 ,  1 
 16 ,  552 ,  4.39038256630207 ,  1.262291 ,  1.188146 ,  0.074145 ,  57.72 ,  7.58 ,  2.31 ,  42.28 ,  0 ,  1 ,  0 ,  1 
 16 ,  540 ,  4.0410342271212 ,  1.414989 ,  1.340722 ,  0.074267 ,  57.94 ,  7.44 ,  2.25 ,  42.06 ,  0 ,  1 ,  0 ,  1 
 16 ,  528 ,  4.92929661107422 ,  1.105306 ,  1.03058 ,  0.074726 ,  58.12 ,  7.25 ,  2.24 ,  41.88 ,  0 ,  1 ,  0 ,  1 
 16 ,  516 ,  6.30365948539693 ,  0.712316 ,  0.647593 ,  0.064723 ,  58.37 ,  7.08 ,  2.15 ,  41.63 ,  0 ,  1 ,  0 ,  1 
 16 ,  504 ,  7.84281958230071 ,  0.401485 ,  0.354232 ,  0.047253 ,  58.14 ,  7.26 ,  2.2 ,  41.86 ,  0 ,  1 ,  0 ,  1 
 16 ,  492 ,  8.15555816322721 ,  0.187481 ,  0.164541 ,  0.02294 ,  58.48 ,  6.46 ,  2.24 ,  41.52 ,  0 ,  1 ,  0 ,  1 
 16 ,  480 ,  11.4694766681204 ,  0.064204 ,  0.052696 ,  0.011508 ,  58.41 ,  6.79 ,  2.16 ,  41.59 ,  0 ,  1 ,  0 ,  1 
 17 ,  564 ,  1 ,  0.001164 ,  0.001164 ,  0 ,  0 ,  0 ,  0 ,  100 ,  1 ,  0 ,  0 ,  1 
 17 ,  552 ,  1 ,  0.085955 ,  0.085955 ,  0 ,  0 ,  0 ,  0 ,  100 ,  1 ,  0 ,  0 ,  1 
 17 ,  540 ,  1 ,  0.006406 ,  0.006406 ,  0 ,  0 ,  0 ,  0 ,  100 ,  1 ,  0 ,  0 ,  1 
 17 ,  528 ,  1 ,  0.000539 ,  0.000539 ,  0 ,  0 ,  0 ,  0 ,  100 ,  1 ,  0 ,  0 ,  1 
 18 ,  540 ,  3.493317555339 ,  0.596189 ,  0.570604 ,  0.025585 ,  58.1 ,  7 ,  2.52 ,  41.9 ,  0 ,  1 ,  0 ,  1 
 18 ,  528 ,  5.34229141382722 ,  1.764954 ,  1.634814 ,  0.13014 ,  58.89 ,  6.77 ,  2.25 ,  41.11 ,  0 ,  1 ,  0 ,  1 
 18 ,  516 ,  5.91239906011109 ,  1.894692 ,  1.737471 ,  0.157221 ,  59.2 ,  6.79 ,  2.07 ,  40.8 ,  0 ,  1 ,  0 ,  1 
 18 ,  504 ,  8.19100039038699 ,  1.370435 ,  1.207438 ,  0.162997 ,  60.46 ,  5.31 ,  2.03 ,  39.54 ,  0 ,  1 ,  0 ,  1 
 18 ,  492 ,  11.6731305976324 ,  0.912551 ,  0.754026 ,  0.158525 ,  61.44 ,  4.21 ,  2.06 ,  38.56 ,  0 ,  1 ,  0 ,  1 
 18 ,  480 ,  17.7752957527898 ,  0.524509 ,  0.379792 ,  0.144717 ,  60.8 ,  4.49 ,  2.13 ,  39.2 ,  0 ,  1 ,  0 ,  1 
 18 ,  468 ,  32.1278976986393 ,  0.214308 ,  0.104498 ,  0.10981 ,  60.75 ,  4.59 ,  2.23 ,  39.25 ,  0 ,  1 ,  0 ,  1 
 18 ,  456 ,  41.8186757716658 ,  0.058283 ,  0.019359 ,  0.038924 ,  61.12 ,  4.51 ,  2.29 ,  38.88 ,  0 ,  1 ,  0 ,  1 
 19 ,  564 ,  1 ,  0.000109 ,  0.000109 ,  0 ,  0 ,  0 ,  0 ,  100 ,  1 ,  0 ,  0 ,  1 
 19 ,  552 ,  1 ,  0.034719 ,  0.034719 ,  0 ,  0 ,  0 ,  0 ,  100 ,  1 ,  0 ,  0 ,  1 
 19 ,  540 ,  1 ,  0.020723 ,  0.020723 ,  0 ,  0 ,  0 ,  0 ,  100 ,  1 ,  0 ,  0 ,  1 
 19 ,  528 ,  1 ,  0.007968 ,  0.007968 ,  0 ,  0 ,  0 ,  0 ,  100 ,  1 ,  0 ,  0 ,  1 
 20 ,  552 ,  1.80675602649007 ,  0.056625 ,  0.055833 ,  0.000792 ,  57.68 ,  7.85 ,  2.75 ,  42.32 ,  0 ,  1 ,  0 ,  1 
 20 ,  540 ,  5.8219574153317 ,  0.949027 ,  0.869621 ,  0.079406 ,  57.63 ,  5.77 ,  2.63 ,  42.37 ,  0 ,  1 ,  0 ,  1 
 20 ,  528 ,  5.86836027267232 ,  2.726496 ,  2.497523 ,  0.228973 ,  57.97 ,  5.91 ,  2.65 ,  42.03 ,  0 ,  1 ,  0 ,  1 
 20 ,  516 ,  6.20940295572917 ,  3.901034 ,  3.553589 ,  0.347445 ,  58.49 ,  5.61 ,  2.59 ,  41.51 ,  0 ,  1 ,  0 ,  1 
 20 ,  504 ,  7.99600680829241 ,  2.854754 ,  2.513296 ,  0.341458 ,  58.49 ,  5.74 ,  2.61 ,  41.51 ,  0 ,  1 ,  0 ,  1 
 20 ,  492 ,  10.0739630260029 ,  2.001082 ,  1.69117 ,  0.309912 ,  58.59 ,  5.78 ,  2.43 ,  41.41 ,  0 ,  1 ,  0 ,  1 
 20 ,  480 ,  13.575664877098 ,  1.283177 ,  1.009254 ,  0.273923 ,  58.91 ,  5.66 ,  2.2 ,  41.09 ,  0 ,  1 ,  0 ,  1 
 20 ,  468 ,  21.7523073306625 ,  0.599823 ,  0.389451 ,  0.210372 ,  59.17 ,  5.22 ,  2.1 ,  40.83 ,  0 ,  1 ,  0 ,  1 
 20 ,  456 ,  37.807695708974 ,  0.208971 ,  0.078757 ,  0.130214 ,  59.07 ,  5.2 ,  2.23 ,  40.93 ,  0 ,  1 ,  0 ,  1 
 20 ,  444 ,  42.6463500420776 ,  0.046343 ,  0.013873 ,  0.03247 ,  59.44 ,  4.95 ,  2.28 ,  40.56 ,  0 ,  1 ,  0 ,  1 
