PIT,BENCH,PRIORITY,TOTAL,WASTE,ORE ,GRADE1 ,GRADE2 ,GRADE3 ,GRADE4 ,FLAG1 ,FLAG2 ,FLAG3 ,FLAG4
 4 ,  480 ,  10.1396268316536 ,  5.902044 ,  4.868026 ,  1.034018 ,  57.87 ,  4.68 ,  2.53 ,  42.13 ,  0 ,  1 ,  1 ,  0 
 4 ,  468 ,  12.662177967446 ,  5.188123 ,  4.056746 ,  1.131377 ,  58.06 ,  4.77 ,  2.41 ,  41.94 ,  0 ,  1 ,  1 ,  0 
 4 ,  456 ,  14.3075196375661 ,  4.536993 ,  3.419998 ,  1.116995 ,  58.11 ,  4.95 ,  2.29 ,  41.89 ,  0 ,  1 ,  1 ,  0 
 4 ,  444 ,  16.1874052584269 ,  3.899265 ,  2.810135 ,  1.08913 ,  57.95 ,  5.46 ,  2.29 ,  42.05 ,  0 ,  1 ,  1 ,  0 
 4 ,  432 ,  17.1163133870281 ,  3.282379 ,  2.308065 ,  0.974314 ,  57.66 ,  5.75 ,  2.35 ,  42.34 ,  0 ,  1 ,  1 ,  0 
 4 ,  420 ,  16.5854639830943 ,  2.632958 ,  1.871294 ,  0.761664 ,  57.33 ,  6.01 ,  2.4 ,  42.67 ,  0 ,  1 ,  1 ,  0 
 4 ,  408 ,  16.4751112251206 ,  1.858519 ,  1.324742 ,  0.533777 ,  57.36 ,  5.96 ,  2.53 ,  42.64 ,  0 ,  1 ,  1 ,  0 
 4 ,  396 ,  16.5500821505871 ,  0.939762 ,  0.672588 ,  0.267174 ,  58.21 ,  5.43 ,  2.03 ,  41.79 ,  0 ,  1 ,  1 ,  0 
 4 ,  384 ,  21.3701202272709 ,  0.487876 ,  0.30859 ,  0.179286 ,  58.15 ,  5.85 ,  2.16 ,  41.85 ,  0 ,  1 ,  1 ,  0 
 4 ,  372 ,  23.703825740117 ,  0.16923 ,  0.099226 ,  0.070004 ,  57.3 ,  6.88 ,  2.29 ,  42.7 ,  0 ,  1 ,  1 ,  0 
 4 ,  360 ,  36.0091901094447 ,  0.069076 ,  0.02611 ,  0.042966 ,  57.89 ,  5.36 ,  2.19 ,  42.11 ,  0 ,  1 ,  1 ,  0 
 5 ,  540 ,  0.001 ,  0.024706 ,  0.024706 ,  0 ,  0 ,  0 ,  0 ,  100 ,  1 ,  0 ,  1 ,  0 
 5 ,  528 ,  1.93565213162151E-02 ,  0.966377 ,  0.96606 ,  0.000317 ,  55.96 ,  5.86 ,  3.12 ,  44.04 ,  1 ,  0 ,  1 ,  0 
 5 ,  516 ,  5.74480382464476E-02 ,  1.897588 ,  1.89568 ,  0.001908 ,  56.14 ,  5.87 ,  2.79 ,  43.86 ,  1 ,  0 ,  1 ,  0 
 5 ,  504 ,  2.33166463463431E-02 ,  0.849724 ,  0.849387 ,  0.000337 ,  56.27 ,  5.67 ,  2.48 ,  43.73 ,  1 ,  0 ,  1 ,  0 
 5 ,  492 ,  5.84684320706162E-02 ,  0.149994 ,  0.149842 ,  0.000152 ,  56.71 ,  6.4 ,  2.04 ,  43.29 ,  1 ,  0 ,  1 ,  0 
 6 ,  528 ,  0.223536571509729 ,  0.014082 ,  0.014026 ,  0.000056 ,  55.96 ,  5.85 ,  3.12 ,  44.04 ,  0 ,  1 ,  1 ,  0 
 6 ,  516 ,  1.75729922007929 ,  0.463124 ,  0.44862 ,  0.014504 ,  56.08 ,  5.95 ,  2.93 ,  43.92 ,  0 ,  1 ,  1 ,  0 
 6 ,  504 ,  2.75337817791549 ,  2.616377 ,  2.487829 ,  0.128548 ,  56.02 ,  6.27 ,  2.61 ,  43.98 ,  0 ,  1 ,  1 ,  0 
 6 ,  492 ,  4.11490358524741 ,  5.795918 ,  5.371952 ,  0.423966 ,  56.24 ,  6.36 ,  2.48 ,  43.76 ,  0 ,  1 ,  1 ,  0 
 6 ,  480 ,  4.63506139850037 ,  7.662565 ,  7.031634 ,  0.630931 ,  56.28 ,  6.39 ,  2.55 ,  43.72 ,  0 ,  1 ,  1 ,  0 
 6 ,  468 ,  6.8989522563847 ,  6.307147 ,  5.538211 ,  0.768936 ,  56.58 ,  5.93 ,  2.65 ,  43.42 ,  0 ,  1 ,  1 ,  0 
 6 ,  456 ,  9.03720645022112 ,  5.247386 ,  4.408008 ,  0.839378 ,  56.49 ,  6.05 ,  2.73 ,  43.51 ,  0 ,  1 ,  1 ,  0 
 6 ,  444 ,  13.1933331254116 ,  4.304505 ,  3.309996 ,  0.994509 ,  57.1 ,  5.61 ,  2.49 ,  42.9 ,  0 ,  1 ,  1 ,  0 
 6 ,  432 ,  16.7969698621271 ,  3.497858 ,  2.485103 ,  1.012755 ,  58.01 ,  4.56 ,  2.12 ,  41.99 ,  0 ,  1 ,  1 ,  0 
 6 ,  420 ,  19.2028144076317 ,  2.727138 ,  1.825209 ,  0.901929 ,  58.06 ,  4.66 ,  2.16 ,  41.94 ,  0 ,  1 ,  1 ,  0 
 6 ,  408 ,  23.2834355537375 ,  2.053455 ,  1.224725 ,  0.82873 ,  57.69 ,  5.08 ,  2.24 ,  42.31 ,  0 ,  1 ,  1 ,  0 
 6 ,  396 ,  26.4977445240612 ,  1.561787 ,  0.839205 ,  0.722582 ,  57.27 ,  5.59 ,  2.14 ,  42.73 ,  0 ,  1 ,  1 ,  0 
 6 ,  384 ,  29.5250456531776 ,  1.024507 ,  0.497178 ,  0.527329 ,  57.36 ,  5.71 ,  1.94 ,  42.64 ,  0 ,  1 ,  1 ,  0 
 6 ,  372 ,  32.8983509069951 ,  0.527456 ,  0.222448 ,  0.305008 ,  56.89 ,  5.93 ,  2 ,  43.11 ,  0 ,  1 ,  1 ,  0 
 6 ,  360 ,  38.4973953678363 ,  0.146886 ,  0.047735 ,  0.099151 ,  57.03 ,  5.6 ,  2.31 ,  42.97 ,  0 ,  1 ,  1 ,  0 
 7 ,  540 ,  1000 ,  0.034183 ,  0.034183 ,  0 ,  0 ,  0 ,  0 ,  100 ,  1 ,  0 ,  0 ,  1 
 7 ,  528 ,  1000 ,  0.160129 ,  0.160129 ,  0 ,  0 ,  0 ,  0 ,  100 ,  1 ,  0 ,  0 ,  1 
 7 ,  516 ,  1000 ,  0.011435 ,  0.011435 ,  0 ,  0 ,  0 ,  0 ,  100 ,  1 ,  0 ,  0 ,  1 
 7 ,  504 ,  1000 ,  0.000956 ,  0.000956 ,  0 ,  0 ,  0 ,  0 ,  100 ,  1 ,  0 ,  0 ,  1 
 8 ,  540 ,  22.9285317257053 ,  0.623942 ,  0.400942 ,  0.223 ,  64.15 ,  2.87 ,  2.53 ,  35.85 ,  0 ,  1 ,  0 ,  1 
 8 ,  528 ,  13.4762391047544 ,  2.708039 ,  2.142192 ,  0.565847 ,  64.49 ,  2.8 ,  2.49 ,  35.51 ,  0 ,  1 ,  0 ,  1 
 8 ,  516 ,  5.42852031845639 ,  7.561475 ,  6.924207 ,  0.637268 ,  64.4 ,  2.83 ,  2.48 ,  35.6 ,  0 ,  1 ,  0 ,  1 
 8 ,  504 ,  3.49133642931199 ,  12.670953 ,  11.983682 ,  0.687271 ,  64.35 ,  2.9 ,  2.43 ,  35.65 ,  0 ,  1 ,  0 ,  1 
 8 ,  492 ,  3.73615824487948 ,  12.077484 ,  11.378842 ,  0.698642 ,  64.57 ,  2.78 ,  2.34 ,  35.43 ,  0 ,  1 ,  0 ,  1 
 8 ,  480 ,  4.23812977196772 ,  10.518774 ,  9.827132 ,  0.691642 ,  64.44 ,  2.89 ,  2.2 ,  35.56 ,  0 ,  1 ,  0 ,  1 
 8 ,  468 ,  4.87570504254273 ,  9.040558 ,  8.357619 ,  0.682939 ,  64.53 ,  2.76 ,  2.04 ,  35.47 ,  0 ,  1 ,  0 ,  1 
 8 ,  456 ,  5.44471359186047 ,  7.68791 ,  7.040466 ,  0.647444 ,  64.64 ,  2.43 ,  1.91 ,  35.36 ,  0 ,  1 ,  0 ,  1 
 8 ,  444 ,  6.17062731794237 ,  6.525777 ,  5.898942 ,  0.626835 ,  64.23 ,  2.54 ,  1.94 ,  35.77 ,  0 ,  1 ,  0 ,  1 
 8 ,  432 ,  7.16282049537551 ,  5.608836 ,  4.981482 ,  0.627354 ,  64.03 ,  2.69 ,  1.97 ,  35.97 ,  0 ,  1 ,  0 ,  1 
 8 ,  420 ,  8.39506392831573 ,  4.848149 ,  4.215541 ,  0.632608 ,  64.33 ,  2.79 ,  1.9 ,  35.67 ,  0 ,  1 ,  0 ,  1 
 8 ,  408 ,  9.94934670783034 ,  4.149938 ,  3.511444 ,  0.638494 ,  64.66 ,  2.77 ,  1.74 ,  35.34 ,  0 ,  1 ,  0 ,  1 
 8 ,  396 ,  11.5800588221385 ,  3.552591 ,  2.919345 ,  0.633246 ,  64.96 ,  2.53 ,  1.66 ,  35.04 ,  0 ,  1 ,  0 ,  1 
 8 ,  384 ,  13.3662745564068 ,  2.949831 ,  2.342634 ,  0.607197 ,  64.93 ,  2.41 ,  1.56 ,  35.07 ,  0 ,  1 ,  0 ,  1 
 8 ,  372 ,  14.7937716399101 ,  2.387637 ,  1.843167 ,  0.54447 ,  64.87 ,  2.36 ,  1.44 ,  35.13 ,  0 ,  1 ,  0 ,  1 
 8 ,  360 ,  16.1876398049159 ,  1.85766 ,  1.394343 ,  0.463317 ,  64.9 ,  2.22 ,  1.46 ,  35.1 ,  0 ,  1 ,  0 ,  1 
 8 ,  348 ,  20.4696312189561 ,  1.031604 ,  0.707448 ,  0.324156 ,  65.14 ,  2.05 ,  1.46 ,  34.86 ,  0 ,  1 ,  0 ,  1 
 8 ,  336 ,  24.5634123452834 ,  0.393219 ,  0.246457 ,  0.146762 ,  65.81 ,  1.94 ,  1.47 ,  34.19 ,  0 ,  1 ,  0 ,  1 
 8 ,  324 ,  25.1698012646 ,  0.11387 ,  0.070525 ,  0.043345 ,  66.12 ,  1.87 ,  1.45 ,  33.88 ,  0 ,  1 ,  0 ,  1 
 9 ,  552 ,  1000 ,  0.073209 ,  0.073209 ,  0 ,  0 ,  0 ,  0 ,  100 ,  1 ,  0 ,  0 ,  1 
 9 ,  540 ,  1000 ,  0.117912 ,  0.117912 ,  0 ,  0 ,  0 ,  0 ,  100 ,  1 ,  0 ,  0 ,  1 
 9 ,  528 ,  1000 ,  0.028508 ,  0.028508 ,  0 ,  0 ,  0 ,  0 ,  100 ,  1 ,  0 ,  0 ,  1 
 9 ,  516 ,  1000 ,  0.001029 ,  0.001029 ,  0 ,  0 ,  0 ,  0 ,  100 ,  1 ,  0 ,  0 ,  1 
 10 ,  552 ,  21.7798672441607 ,  0.073767 ,  0.047365 ,  0.026402 ,  60.85 ,  2.91 ,  2.4 ,  39.15 ,  0 ,  1 ,  0 ,  1 
 10 ,  540 ,  13.5078837142635 ,  1.297657 ,  1.011029 ,  0.286628 ,  61.15 ,  3.07 ,  2.61 ,  38.85 ,  0 ,  1 ,  0 ,  1 
 10 ,  528 ,  6.8764449440158 ,  5.411973 ,  4.803971 ,  0.608002 ,  61.2 ,  3.3 ,  2.57 ,  38.8 ,  0 ,  1 ,  0 ,  1 
 10 ,  516 ,  4.09958649160887 ,  11.879505 ,  11.080798 ,  0.798707 ,  60.96 ,  3.43 ,  2.48 ,  39.04 ,  0 ,  1 ,  0 ,  1 
 10 ,  504 ,  4.4316033038254 ,  12.200221 ,  11.3151 ,  0.885121 ,  61.07 ,  3.34 ,  2.39 ,  38.93 ,  0 ,  1 ,  0 ,  1 
 10 ,  492 ,  5.22660464852063 ,  10.861434 ,  9.932809 ,  0.928625 ,  61.12 ,  3.31 ,  2.31 ,  38.88 ,  0 ,  1 ,  0 ,  1 
 10 ,  480 ,  6.11361521805544 ,  9.715144 ,  8.744326 ,  0.970818 ,  61.17 ,  3.31 ,  2.33 ,  38.83 ,  0 ,  1 ,  0 ,  1 
 10 ,  468 ,  7.23133817048279 ,  8.605068 ,  7.588109 ,  1.016959 ,  61.18 ,  3.31 ,  2.31 ,  38.82 ,  0 ,  1 ,  0 ,  1 
 10 ,  456 ,  8.13702196719526 ,  7.675354 ,  6.656479 ,  1.018875 ,  61.29 ,  3.46 ,  2.24 ,  38.71 ,  0 ,  1 ,  0 ,  1 
